SET 1,SET 2,SET 3,SET 4,SET 5,Jogadora,Time,Partida,Vencedor,Serviço Err,Serviço Ace,Recepção Tot,Recepção Err,Ataque Exc.,Ataque Err,Ataque Blk,Bloqueio Pts,Fase,Cat,Jogo,VV
*,*,*,,,ERICA MOTTA LIMA (L),ESPORTE CLUBE PINHEIROS,SESI VOLEI BAURU x ESPORTE CLUBE PINHEIROS,SESI VOLEI BAURU,,,16,2,,,,,classificatoria,turno,30,0
*,*,*,,,CAMILA MESQUITA,ESPORTE CLUBE PINHEIROS,SESI VOLEI BAURU x ESPORTE CLUBE PINHEIROS,SESI VOLEI BAURU,1,,,,1,,1,,classificatoria,turno,30,0
2,3,2,,,SONALY CIDRÃO,ESPORTE CLUBE PINHEIROS,SESI VOLEI BAURU x ESPORTE CLUBE PINHEIROS,SESI VOLEI BAURU,1,,18,2,5,2,1,1,classificatoria,turno,30,0
,*,,,,KELLY GOMES,ESPORTE CLUBE PINHEIROS,SESI VOLEI BAURU x ESPORTE CLUBE PINHEIROS,SESI VOLEI BAURU,,,,,,,,,classificatoria,turno,30,0
6,,,,,LARISSA GONGRA,ESPORTE CLUBE PINHEIROS,SESI VOLEI BAURU x ESPORTE CLUBE PINHEIROS,SESI VOLEI BAURU,,,,,,,,,classificatoria,turno,30,0
,*,*,,,VITORIA PARISE (L),ESPORTE CLUBE PINHEIROS,SESI VOLEI BAURU x ESPORTE CLUBE PINHEIROS,SESI VOLEI BAURU,,,1,,,,,,classificatoria,turno,30,0
*,*,*,,,LIMA VIVIAN,BARUERI VOLLEYBALL CLUB,BARUERI VOLLEYBALL CLUB x BRASÍLIA VÔLEI,BARUERI VOLLEYBALL CLUB,1,,,,,,,,classificatoria,turno,31,0
3,3,3,,,DIANA DUARTE,BARUERI VOLLEYBALL CLUB,BARUERI VOLLEYBALL CLUB x BRASÍLIA VÔLEI,BARUERI VOLLEYBALL CLUB,,1,,,3,1,,5,classificatoria,turno,31,1
5,5,5,,,GLAYCE VASCONCELOS,BARUERI VOLLEYBALL CLUB,BARUERI VOLLEYBALL CLUB x BRASÍLIA VÔLEI,BARUERI VOLLEYBALL CLUB,,,17,1,10,3,2,1,classificatoria,turno,31,0
*,*,,,,ANA LUIZA RUDIGER,BARUERI VOLLEYBALL CLUB,BARUERI VOLLEYBALL CLUB x BRASÍLIA VÔLEI,BARUERI VOLLEYBALL CLUB,,,,,,,,,classificatoria,turno,31,0
4,4,4,,,LORRAYNA MARYS DA SILVA,BARUERI VOLLEYBALL CLUB,BARUERI VOLLEYBALL CLUB x BRASÍLIA VÔLEI,BARUERI VOLLEYBALL CLUB,3,1,,,6,,2,6,classificatoria,turno,31,0
*,*,*,,,JHEOVANA EMANUELLE COSTA,BARUERI VOLLEYBALL CLUB,BARUERI VOLLEYBALL CLUB x BRASÍLIA VÔLEI,BARUERI VOLLEYBALL CLUB,1,,,,1,2,,,classificatoria,turno,31,0
6,6,6,,,LORENA VIEZEL,BARUERI VOLLEYBALL CLUB,BARUERI VOLLEYBALL CLUB x BRASÍLIA VÔLEI,BARUERI VOLLEYBALL CLUB,,,,,6,,1,4,classificatoria,turno,31,0
2,2,2,,,KARINA BARBOSA,BARUERI VOLLEYBALL CLUB,BARUERI VOLLEYBALL CLUB x BRASÍLIA VÔLEI,BARUERI VOLLEYBALL CLUB,,,12,1,14,1,,,classificatoria,turno,31,0
1,1,1,,,JACKELINE SANTOS,BARUERI VOLLEYBALL CLUB,BARUERI VOLLEYBALL CLUB x BRASÍLIA VÔLEI,BARUERI VOLLEYBALL CLUB,1,,1,,,,,1,classificatoria,turno,31,0
*,,,,,LAIS ZURLY VASQUES (L),BARUERI VOLLEYBALL CLUB,BARUERI VOLLEYBALL CLUB x BRASÍLIA VÔLEI,BARUERI VOLLEYBALL CLUB,,,1,,,,,,classificatoria,turno,31,0
*,*,*,,,PAULINA  DE SOUZA (L),BARUERI VOLLEYBALL CLUB,BARUERI VOLLEYBALL CLUB x BRASÍLIA VÔLEI,BARUERI VOLLEYBALL CLUB,,,15,,,,,,classificatoria,turno,31,0
,,*,,,KAROLINE TORMENA,BARUERI VOLLEYBALL CLUB,BARUERI VOLLEYBALL CLUB x BRASÍLIA VÔLEI,BARUERI VOLLEYBALL CLUB,,,,,,,,,classificatoria,turno,31,0
6,6,1,,,ANA CRISTINA,BRASÍLIA VÔLEI,BARUERI VOLLEYBALL CLUB x BRASÍLIA VÔLEI,BARUERI VOLLEYBALL CLUB,,,,,,1,,1,classificatoria,turno,31,0
4,*,,,,NATALIA MONTEIRO,BRASÍLIA VÔLEI,BARUERI VOLLEYBALL CLUB x BRASÍLIA VÔLEI,BARUERI VOLLEYBALL CLUB,,,4,1,1,1,4,,classificatoria,turno,31,0
1,1,2,,,ALESSANDRA JANUARIA,BRASÍLIA VÔLEI,BARUERI VOLLEYBALL CLUB x BRASÍLIA VÔLEI,BARUERI VOLLEYBALL CLUB,2,,36,2,5,1,3,,classificatoria,turno,31,0
,*,*,,,MAYNARA DEVESA,BRASÍLIA VÔLEI,BARUERI VOLLEYBALL CLUB x BRASÍLIA VÔLEI,BARUERI VOLLEYBALL CLUB,,,,,1,,,,classificatoria,turno,31,0
*,2,6,,,ALINE CRISTINA,BRASÍLIA VÔLEI,BARUERI VOLLEYBALL CLUB x BRASÍLIA VÔLEI,BARUERI VOLLEYBALL CLUB,1,1,,,4,,,,classificatoria,turno,31,0
3,*,4,,,ARIANNE TOLENTINO,BRASÍLIA VÔLEI,BARUERI VOLLEYBALL CLUB x BRASÍLIA VÔLEI,BARUERI VOLLEYBALL CLUB,,1,,,7,3,2,,classificatoria,turno,31,0
2,*,3,,,EDNA SCHLINDWEIN,BRASÍLIA VÔLEI,BARUERI VOLLEYBALL CLUB x BRASÍLIA VÔLEI,BARUERI VOLLEYBALL CLUB,,,,,2,,2,1,classificatoria,turno,31,0
5,5,,,,EMILCE SOSA,BRASÍLIA VÔLEI,BARUERI VOLLEYBALL CLUB x BRASÍLIA VÔLEI,BARUERI VOLLEYBALL CLUB,1,,,,1,1,1,2,classificatoria,turno,31,0
*,,,,,VITORIA TRINDADE (L),BRASÍLIA VÔLEI,BARUERI VOLLEYBALL CLUB x BRASÍLIA VÔLEI,BARUERI VOLLEYBALL CLUB,,,,,,,,,classificatoria,turno,31,0
*,3,*,,,SARA DIAS,BRASÍLIA VÔLEI,BARUERI VOLLEYBALL CLUB x BRASÍLIA VÔLEI,BARUERI VOLLEYBALL CLUB,1,,,,3,,3,,classificatoria,turno,31,0
*,4,5,,,ISABELA PAQUIARDI,BRASÍLIA VÔLEI,BARUERI VOLLEYBALL CLUB x BRASÍLIA VÔLEI,BARUERI VOLLEYBALL CLUB,1,,14,1,6,2,2,1,classificatoria,turno,31,0
*,*,*,,,JULIANA PAES (L),BRASÍLIA VÔLEI,BARUERI VOLLEYBALL CLUB x BRASÍLIA VÔLEI,BARUERI VOLLEYBALL CLUB,,,14,,,,,,classificatoria,turno,31,0
3,3,3,,,BEATRIZ FERNANDES DOS SANTOS,CURITIBA VÔLEI,CURITIBA VÔLEI x ITAMBÉ MINAS,ITAMBÉ MINAS,1,,,,,,1,,classificatoria,turno,32,0
1,1,1,,,GABRIELA LIMA CORDAL SASSO,CURITIBA VÔLEI,CURITIBA VÔLEI x ITAMBÉ MINAS,ITAMBÉ MINAS,2,,,,1,1,,1,classificatoria,turno,32,0
,,*,,,NICOLE BLEY TEMPASS,CURITIBA VÔLEI,CURITIBA VÔLEI x ITAMBÉ MINAS,ITAMBÉ MINAS,,,,,,,,,classificatoria,turno,32,0
5,5,5,,,TAMARA ABILA PAULA,CURITIBA VÔLEI,CURITIBA VÔLEI x ITAMBÉ MINAS,ITAMBÉ MINAS,,1,35,1,4,3,2,,classificatoria,turno,32,0
2,2,2,,,IZADORA STEDILE,CURITIBA VÔLEI,CURITIBA VÔLEI x ITAMBÉ MINAS,ITAMBÉ MINAS,2,,11,1,2,3,3,1,classificatoria,turno,32,0
6,6,6,,,VALESKA SANTOS MENEZES,CURITIBA VÔLEI,CURITIBA VÔLEI x ITAMBÉ MINAS,ITAMBÉ MINAS,,,1,,,2,,2,classificatoria,turno,32,0
4,4,4,,,GABRIELLA ALEXANDRA GUEDES,CURITIBA VÔLEI,CURITIBA VÔLEI x ITAMBÉ MINAS,ITAMBÉ MINAS,4,1,6,2,4,1,3,,classificatoria,turno,32,0
*,*,*,,,MABELLY GONCALO SOUZA,CURITIBA VÔLEI,CURITIBA VÔLEI x ITAMBÉ MINAS,ITAMBÉ MINAS,,,1,,,,,,classificatoria,turno,32,0
*,*,*,,,FERNANDA GUIMARÃES,CURITIBA VÔLEI,CURITIBA VÔLEI x ITAMBÉ MINAS,ITAMBÉ MINAS,,,10,1,,,,,classificatoria,turno,32,0
6,6,6,,,MACRIS  CARNEIRO,ITAMBÉ MINAS,CURITIBA VÔLEI x ITAMBÉ MINAS,ITAMBÉ MINAS,1,2,,,,,1,,classificatoria,turno,32,0
4,,,,,PRISCILA DAROIT,ITAMBÉ MINAS,CURITIBA VÔLEI x ITAMBÉ MINAS,ITAMBÉ MINAS,,,3,,3,1,,,classificatoria,turno,32,0
2,2,2,,,THAISA DAHER,ITAMBÉ MINAS,CURITIBA VÔLEI x ITAMBÉ MINAS,ITAMBÉ MINAS,3,3,,,4,2,1,4,classificatoria,turno,32,1
5,5,5,,,JULIA KUDIESS,ITAMBÉ MINAS,CURITIBA VÔLEI x ITAMBÉ MINAS,ITAMBÉ MINAS,1,,,,2,1,,4,classificatoria,turno,32,0
,,*,,,KISY CESARIO,ITAMBÉ MINAS,CURITIBA VÔLEI x ITAMBÉ MINAS,ITAMBÉ MINAS,,,,,,,,,classificatoria,turno,32,0
,*,,,,JULIA MOREIRA (L),ITAMBÉ MINAS,CURITIBA VÔLEI x ITAMBÉ MINAS,ITAMBÉ MINAS,,,,,,,,,classificatoria,turno,32,0
,,*,,,PRISCILA  HELDES,ITAMBÉ MINAS,CURITIBA VÔLEI x ITAMBÉ MINAS,ITAMBÉ MINAS,1,,,,,,,,classificatoria,turno,32,0
1,1,,,,NERIMAN OZSOY,ITAMBÉ MINAS,CURITIBA VÔLEI x ITAMBÉ MINAS,ITAMBÉ MINAS,,,3,,3,,,1,classificatoria,turno,32,0
*,4,4,,,LUIZA VICENTE,ITAMBÉ MINAS,CURITIBA VÔLEI x ITAMBÉ MINAS,ITAMBÉ MINAS,2,,15,1,3,3,1,,classificatoria,turno,32,0
,*,1,,,PRISCILA SOUZA,ITAMBÉ MINAS,CURITIBA VÔLEI x ITAMBÉ MINAS,ITAMBÉ MINAS,,,6,1,1,1,1,,classificatoria,turno,32,0
*,*,*,,,LEIA  SILVA (L),ITAMBÉ MINAS,CURITIBA VÔLEI x ITAMBÉ MINAS,ITAMBÉ MINAS,,,14,,,,,,classificatoria,turno,32,0
3,3,3,,,DANIELLE CUTTINO,ITAMBÉ MINAS,CURITIBA VÔLEI x ITAMBÉ MINAS,ITAMBÉ MINAS,1,,,,11,2,1,1,classificatoria,turno,32,0
,,*,,,ROSELY NOGUEIRA,ESPORTE CLUBE PINHEIROS,ESPORTE CLUBE PINHEIROS x OSASCO SÃO CRISTOVÃO SAUDE,OSASCO SÃO CRISTOVÃO SAUDE,,,,,,,,,classificatoria,turno,33,0
1,2,1,,,CAROLINA LEITE,ESPORTE CLUBE PINHEIROS,ESPORTE CLUBE PINHEIROS x OSASCO SÃO CRISTOVÃO SAUDE,OSASCO SÃO CRISTOVÃO SAUDE,2,,1,,1,,1,,classificatoria,turno,33,0
4,5,*,,,EDINARA BRANCHER,ESPORTE CLUBE PINHEIROS,ESPORTE CLUBE PINHEIROS x OSASCO SÃO CRISTOVÃO SAUDE,OSASCO SÃO CRISTOVÃO SAUDE,1,,,,3,4,2,2,classificatoria,turno,33,0
6,1,6,,,GABRIELA MARTINS,ESPORTE CLUBE PINHEIROS,ESPORTE CLUBE PINHEIROS x OSASCO SÃO CRISTOVÃO SAUDE,OSASCO SÃO CRISTOVÃO SAUDE,,,3,,1,1,1,2,classificatoria,turno,33,0
3,4,3,,,DANIELE OLIVEIRA,ESPORTE CLUBE PINHEIROS,ESPORTE CLUBE PINHEIROS x OSASCO SÃO CRISTOVÃO SAUDE,OSASCO SÃO CRISTOVÃO SAUDE,1,1,1,,1,1,,3,classificatoria,turno,33,0
5,6,2,,,TALIA COSTA,ESPORTE CLUBE PINHEIROS,ESPORTE CLUBE PINHEIROS x OSASCO SÃO CRISTOVÃO SAUDE,OSASCO SÃO CRISTOVÃO SAUDE,,,23,3,6,3,,1,classificatoria,turno,33,0
*,*,*,,,ERICA MOTTA LIMA (L),ESPORTE CLUBE PINHEIROS,ESPORTE CLUBE PINHEIROS x OSASCO SÃO CRISTOVÃO SAUDE,OSASCO SÃO CRISTOVÃO SAUDE,,,15,1,,,,,classificatoria,turno,33,0
,*,4,,,CAMILA MESQUITA,ESPORTE CLUBE PINHEIROS,ESPORTE CLUBE PINHEIROS x OSASCO SÃO CRISTOVÃO SAUDE,OSASCO SÃO CRISTOVÃO SAUDE,,,,,5,2,1,1,classificatoria,turno,33,0
2,3,5,,,SONALY CIDRÃO,ESPORTE CLUBE PINHEIROS,ESPORTE CLUBE PINHEIROS x OSASCO SÃO CRISTOVÃO SAUDE,OSASCO SÃO CRISTOVÃO SAUDE,1,,16,2,3,,2,,classificatoria,turno,33,0
,,*,,,KELLY GOMES,ESPORTE CLUBE PINHEIROS,ESPORTE CLUBE PINHEIROS x OSASCO SÃO CRISTOVÃO SAUDE,OSASCO SÃO CRISTOVÃO SAUDE,1,,,,,,,1,classificatoria,turno,33,0
,*,,,,ALEXIA COCCO,ESPORTE CLUBE PINHEIROS,ESPORTE CLUBE PINHEIROS x OSASCO SÃO CRISTOVÃO SAUDE,OSASCO SÃO CRISTOVÃO SAUDE,,,1,,,,,,classificatoria,turno,33,0
*,*,*,,,VITORIA PARISE (L),ESPORTE CLUBE PINHEIROS,ESPORTE CLUBE PINHEIROS x OSASCO SÃO CRISTOVÃO SAUDE,OSASCO SÃO CRISTOVÃO SAUDE,1,1,6,1,1,,,,classificatoria,turno,33,0
6,6,6,,,FABIANA CLAUDINO,OSASCO SÃO CRISTOVÃO SAÚDE,ESPORTE CLUBE PINHEIROS x OSASCO SÃO CRISTOVÃO SAUDE,OSASCO SÃO CRISTOVÃO SAUDE,,,,,8,1,,1,classificatoria,turno,33,0
*,*,*,,,KEYLA RAMALHO,OSASCO SÃO CRISTOVÃO SAÚDE,ESPORTE CLUBE PINHEIROS x OSASCO SÃO CRISTOVÃO SAUDE,OSASCO SÃO CRISTOVÃO SAUDE,,2,1,,,,,,classificatoria,turno,33,0
3,3,3,,,RACHAEL ADAMS,OSASCO SÃO CRISTOVÃO SAÚDE,ESPORTE CLUBE PINHEIROS x OSASCO SÃO CRISTOVÃO SAUDE,OSASCO SÃO CRISTOVÃO SAUDE,,,1,,4,2,1,1,classificatoria,turno,33,0
4,4,4,,,TIFANNY ABREU,OSASCO SÃO CRISTOVÃO SAÚDE,ESPORTE CLUBE PINHEIROS x OSASCO SÃO CRISTOVÃO SAUDE,OSASCO SÃO CRISTOVÃO SAUDE,1,,,,11,4,4,1,classificatoria,turno,33,0
5,5,5,,,MICHELLE PAVAO,OSASCO SÃO CRISTOVÃO SAÚDE,ESPORTE CLUBE PINHEIROS x OSASCO SÃO CRISTOVÃO SAUDE,OSASCO SÃO CRISTOVÃO SAUDE,1,3,17,,5,1,3,2,classificatoria,turno,33,0
1,1,1,,,JOSEFA FABIOLA,OSASCO SÃO CRISTOVÃO SAÚDE,ESPORTE CLUBE PINHEIROS x OSASCO SÃO CRISTOVÃO SAUDE,OSASCO SÃO CRISTOVÃO SAUDE,2,2,,,2,,,1,classificatoria,turno,33,1
*,*,*,,,CAMILA BRAIT (L),OSASCO SÃO CRISTOVÃO SAÚDE,ESPORTE CLUBE PINHEIROS x OSASCO SÃO CRISTOVÃO SAUDE,OSASCO SÃO CRISTOVÃO SAUDE,,,8,,,,,,classificatoria,turno,33,0
2,2,2,,,CARLA SANTOS,OSASCO SÃO CRISTOVÃO SAÚDE,ESPORTE CLUBE PINHEIROS x OSASCO SÃO CRISTOVÃO SAUDE,OSASCO SÃO CRISTOVÃO SAUDE,3,,21,2,11,2,2,1,classificatoria,turno,33,0
6,6,,,,WALEWSKA  OLIVEIRA,DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE x UNILIFE-MARINGA,DENTIL PRAIA CLUBE,,1,,,2,,2,,classificatoria,turno,34,0
4,4,4,,,BRAYELIN MARTINEZ,DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE x UNILIFE-MARINGA,DENTIL PRAIA CLUBE,1,2,1,,8,2,1,3,classificatoria,turno,34,0
1,1,1,,,CLAUDIA BUENO,DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE x UNILIFE-MARINGA,DENTIL PRAIA CLUBE,,1,,,,,,1,classificatoria,turno,34,0
,*,3,,,ANGELICA MALINVERNO,DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE x UNILIFE-MARINGA,DENTIL PRAIA CLUBE,,,,,2,,,2,classificatoria,turno,34,0
5,5,5,,,TAINARA SANTOS,DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE x UNILIFE-MARINGA,DENTIL PRAIA CLUBE,1,,20,2,10,2,2,4,classificatoria,turno,34,1
2,2,2,,,ANNE ELISE BUIJS,DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE x UNILIFE-MARINGA,DENTIL PRAIA CLUBE,,,15,2,5,,1,1,classificatoria,turno,34,0
*,*,,,,ARIANE PINTO,DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE x UNILIFE-MARINGA,DENTIL PRAIA CLUBE,1,,,,3,1,1,1,classificatoria,turno,34,0
,,*,,,KASIELY CLEMENTE,DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE x UNILIFE-MARINGA,DENTIL PRAIA CLUBE,,,,,,,,,classificatoria,turno,34,0
*,*,*,,,JULIANA PERDIGAO (L),DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE x UNILIFE-MARINGA,DENTIL PRAIA CLUBE,,,8,1,,,,,classificatoria,turno,34,0
3,3,6,,,ANA CAROLINA SILVA,DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE x UNILIFE-MARINGA,DENTIL PRAIA CLUBE,,2,,,3,1,2,,classificatoria,turno,34,0
,*,,,,VANESSA JANKE,DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE x UNILIFE-MARINGA,DENTIL PRAIA CLUBE,,,5,,2,,,,classificatoria,turno,34,0
*,*,,,,LYARA BATISTA,DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE x UNILIFE-MARINGA,DENTIL PRAIA CLUBE,1,,,,,,,,classificatoria,turno,34,0
,4,,,,TANIELLY STORCH,UNILIFE-MARINGA,DENTIL PRAIA CLUBE x UNILIFE-MARINGA,DENTIL PRAIA CLUBE,,,,,1,2,,,classificatoria,turno,34,0
1,2,4,,,NATALIA DANIELSKI,UNILIFE-MARINGA,DENTIL PRAIA CLUBE x UNILIFE-MARINGA,DENTIL PRAIA CLUBE,1,2,32,2,4,,2,3,classificatoria,turno,34,0
4,5,*,,,JULIANA ODILON,UNILIFE-MARINGA,DENTIL PRAIA CLUBE x UNILIFE-MARINGA,DENTIL PRAIA CLUBE,,,8,2,2,,2,1,classificatoria,turno,34,0
,*,*,,,BEATRIZ MORAES,UNILIFE-MARINGA,DENTIL PRAIA CLUBE x UNILIFE-MARINGA,DENTIL PRAIA CLUBE,1,,,,,,,,classificatoria,turno,34,0
3,,,,,LAIZA FERREIRA,UNILIFE-MARINGA,DENTIL PRAIA CLUBE x UNILIFE-MARINGA,DENTIL PRAIA CLUBE,,,,,,1,3,1,classificatoria,turno,34,0
5,3,2,,,CAMILA LEITE,UNILIFE-MARINGA,DENTIL PRAIA CLUBE x UNILIFE-MARINGA,DENTIL PRAIA CLUBE,1,1,,,8,4,,,classificatoria,turno,34,0
*,*,3,,,FRANCIANE RICHTER,UNILIFE-MARINGA,DENTIL PRAIA CLUBE x UNILIFE-MARINGA,DENTIL PRAIA CLUBE,2,1,,,9,1,2,,classificatoria,turno,34,0
,*,1,,,AMANDA SILVA,UNILIFE-MARINGA,DENTIL PRAIA CLUBE x UNILIFE-MARINGA,DENTIL PRAIA CLUBE,1,,7,,6,1,2,,classificatoria,turno,34,0
6,1,6,,,THAIS OLIVEIRA,UNILIFE-MARINGA,DENTIL PRAIA CLUBE x UNILIFE-MARINGA,DENTIL PRAIA CLUBE,,,,,,1,,,classificatoria,turno,34,0
*,*,*,,,TIFANY NASCIMENTO (L),UNILIFE-MARINGA,DENTIL PRAIA CLUBE x UNILIFE-MARINGA,DENTIL PRAIA CLUBE,,,19,1,,,,,classificatoria,turno,34,0
2,6,5,,,JUSSARA SILVA,UNILIFE-MARINGA,DENTIL PRAIA CLUBE x UNILIFE-MARINGA,DENTIL PRAIA CLUBE,2,1,1,1,1,,1,4,classificatoria,turno,34,0
,,*,,,JULIA MACHADO (L),UNILIFE-MARINGA,DENTIL PRAIA CLUBE x UNILIFE-MARINGA,DENTIL PRAIA CLUBE,,,2,,,,,,classificatoria,turno,34,0
,5,5,1,6,MARA LEÃO,SESI VOLEI BAURU,SESI VOLEI BAURU x COUNTRY CLUB VALINHOS,SESI VOLEI BAURU,,,,,3,1,,,classificatoria,turno,35,0
1,6,6,2,1,DANIELLE LINS,SESI VOLEI BAURU,SESI VOLEI BAURU x COUNTRY CLUB VALINHOS,SESI VOLEI BAURU,2,,,,1,,,2,classificatoria,turno,35,0
2,1,1,3,2,SUELLE OLIVEIRA,SESI VOLEI BAURU,SESI VOLEI BAURU x COUNTRY CLUB VALINHOS,SESI VOLEI BAURU,2,2,18,,11,3,1,2,classificatoria,turno,35,0
6,,,,,ADENIZIA FERREIRA,SESI VOLEI BAURU,SESI VOLEI BAURU x COUNTRY CLUB VALINHOS,SESI VOLEI BAURU,2,,,,,,1,3,classificatoria,turno,35,0
*,*,*,*,*,NYEME NUNES (L),SESI VOLEI BAURU,SESI VOLEI BAURU x COUNTRY CLUB VALINHOS,SESI VOLEI BAURU,,,17,1,,,,,classificatoria,turno,35,0
4,3,3,,,PAMELA SANABIO,SESI VOLEI BAURU,SESI VOLEI BAURU x COUNTRY CLUB VALINHOS,SESI VOLEI BAURU,3,1,,,5,4,3,,classificatoria,turno,35,0
*,,,,,LETICIA LINHARES,SESI VOLEI BAURU,SESI VOLEI BAURU x COUNTRY CLUB VALINHOS,SESI VOLEI BAURU,,,,,,,,,classificatoria,turno,35,0
,,*,,,MAYHARA SILVA,SESI VOLEI BAURU,SESI VOLEI BAURU x COUNTRY CLUB VALINHOS,SESI VOLEI BAURU,,,,,,,,,classificatoria,turno,35,0
5,4,4,,,ODINA ALRYEVA,SESI VOLEI BAURU,SESI VOLEI BAURU x COUNTRY CLUB VALINHOS,SESI VOLEI BAURU,2,,39,3,12,2,1,,classificatoria,turno,35,0
,,*,5,4,NIA REED,SESI VOLEI BAURU,SESI VOLEI BAURU x COUNTRY CLUB VALINHOS,SESI VOLEI BAURU,,,,,20,1,1,1,classificatoria,turno,35,0
,,,6,5,DRUSSYLA COSTA,SESI VOLEI BAURU,SESI VOLEI BAURU x COUNTRY CLUB VALINHOS,SESI VOLEI BAURU,,,9,,4,2,,2,classificatoria,turno,35,0
3,2,2,4,3,MAYANY SOUZA,SESI VOLEI BAURU,SESI VOLEI BAURU x COUNTRY CLUB VALINHOS,SESI VOLEI BAURU,,,,,6,,1,9,classificatoria,turno,35,1
*,,,,,THAISINHA SOUZA,SESI VOLEI BAURU,SESI VOLEI BAURU x COUNTRY CLUB VALINHOS,SESI VOLEI BAURU,,,,,1,,,,classificatoria,turno,35,0
*,5,4,5,5,ANA CLARA MEDINA,COUNTRY CLUB VALINHOS,SESI VOLEI BAURU x COUNTRY CLUB VALINHOS,SESI VOLEI BAURU,4,,27,,14,1,3,1,classificatoria,turno,35,0
*,*,*,*,*,GABRIELLA SILVA (L),COUNTRY CLUB VALINHOS,SESI VOLEI BAURU x COUNTRY CLUB VALINHOS,SESI VOLEI BAURU,,,30,,,,,,classificatoria,turno,35,0
2,3,2,3,3,EMANUELLA DA SILVA,COUNTRY CLUB VALINHOS,SESI VOLEI BAURU x COUNTRY CLUB VALINHOS,SESI VOLEI BAURU,4,2,,,4,1,2,1,classificatoria,turno,35,0
1,*,3,4,4,AMANDA KAROLINE MARQUES,COUNTRY CLUB VALINHOS,SESI VOLEI BAURU x COUNTRY CLUB VALINHOS,SESI VOLEI BAURU,2,,6,,8,2,3,2,classificatoria,turno,35,0
4,,,,,JULIA MOURA,COUNTRY CLUB VALINHOS,SESI VOLEI BAURU x COUNTRY CLUB VALINHOS,SESI VOLEI BAURU,,,5,1,4,1,1,,classificatoria,turno,35,0
*,2,1,2,2,GABRIELLE MARCONDES,COUNTRY CLUB VALINHOS,SESI VOLEI BAURU x COUNTRY CLUB VALINHOS,SESI VOLEI BAURU,2,,30,2,19,3,4,1,classificatoria,turno,35,0
6,1,6,1,1,AMANDA RODRIGUES SEHN,COUNTRY CLUB VALINHOS,SESI VOLEI BAURU x COUNTRY CLUB VALINHOS,SESI VOLEI BAURU,2,1,,,,,,,classificatoria,turno,35,0
5,6,5,6,6,LANNA GABRIELLA MACHADO,COUNTRY CLUB VALINHOS,SESI VOLEI BAURU x COUNTRY CLUB VALINHOS,SESI VOLEI BAURU,1,1,,,4,2,3,3,classificatoria,turno,35,0
*,,,,*,MAYRA VITORIA DE SOUZA,COUNTRY CLUB VALINHOS,SESI VOLEI BAURU x COUNTRY CLUB VALINHOS,SESI VOLEI BAURU,,,4,,,,1,,classificatoria,turno,35,0
3,4,*,*,*,DANIELA CECHETTO,COUNTRY CLUB VALINHOS,SESI VOLEI BAURU x COUNTRY CLUB VALINHOS,SESI VOLEI BAURU,,,,,4,1,2,,classificatoria,turno,35,0
*,*,*,*,*,JULIA FAHEL,COUNTRY CLUB VALINHOS,SESI VOLEI BAURU x COUNTRY CLUB VALINHOS,SESI VOLEI BAURU,,,,,,,,,classificatoria,turno,35,0
4,3,4,5,,LARA NOBRE,FLUMINENSE,FLUMINENSE x SESC RJ FLAMENGO,SESC RJ FLAMENGO,2,,4,,4,,1,1,classificatoria,turno,36,0
2,1,2,3,,BRUNA COSTA,FLUMINENSE,FLUMINENSE x SESC RJ FLAMENGO,SESC RJ FLAMENGO,,1,1,,2,,,1,classificatoria,turno,36,0
,*,*,*,,FRANCINE TOMAZONI,FLUMINENSE,FLUMINENSE x SESC RJ FLAMENGO,SESC RJ FLAMENGO,,,,,,,,,classificatoria,turno,36,0
3,2,3,*,,GABRIELA CANDIDO,FLUMINENSE,FLUMINENSE x SESC RJ FLAMENGO,SESC RJ FLAMENGO,2,1,31,3,6,1,2,1,classificatoria,turno,36,0
1,6,1,2,,LAYS FERNANDA FREITAS,FLUMINENSE,FLUMINENSE x SESC RJ FLAMENGO,SESC RJ FLAMENGO,1,2,,,4,3,1,4,classificatoria,turno,36,0
,,,*,,ISABELLA LETICIA ROCHA,FLUMINENSE,FLUMINENSE x SESC RJ FLAMENGO,SESC RJ FLAMENGO,,,,,1,,,,classificatoria,turno,36,0
6,5,6,4,,MAYARA BARCELOS,FLUMINENSE,FLUMINENSE x SESC RJ FLAMENGO,SESC RJ FLAMENGO,,1,29,,16,3,4,1,classificatoria,turno,36,0
,*,*,1,,PAULA MOHR,FLUMINENSE,FLUMINENSE x SESC RJ FLAMENGO,SESC RJ FLAMENGO,,,5,2,1,,2,,classificatoria,turno,36,0
